Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Variable: Mean value of annual precipitation across the year (mm),Description: Mean value of annual precipitation across the year (mm),Comment: Mean value of annual precipitation across the year (mm),Variable: Mean value of monthly temperature across the year (°C),Description: Mean value of monthly temperature across the year (°C),Comment: Mean value of monthly temperature across the year (°C),Variable: Variance in monthly precipitation means,Description: Variance in monthly precipitation means,Comment: Variance in monthly precipitation means
Ethnographic Atlas,Kalinga,Ia16,xd739,Kalinga (Ia16),,,18,121,18,121,lubu1243,Lubuagan Kalinga,knb,Austronesian,153686.8415,,,25.38043492,,,19303377937,,
Ethnographic Atlas,Kalispel,Nd13,xd1145,Kalispel (Nd13),Southeast,NR19,49,-117,49,-117,kali1309,Kalispel,,Salishan,79176.66775,,,3.721540491,,,2644522890,,
Western North American Indian database,Kalispel,WNAI104,xd1145,Kalispel (J104),Southeast,NR19,48.2,-116.2,48.2,116.2,kali1309,Kalispel,,Salishan,77159.76107,,,4.725151808,,,2804377932,,
Binford Hunter-Gatherer,Kalispel,B326,xd1145,Kalispel (B326),Southeast,NR19,47.94,-115.67,47.94,-115.67,kali1309,Kalispel,,Salishan,83605.8043,,,5.248441629,,,3577175644,,
Ethnographic Atlas,Tem,Ag52,xd291,Tem (Ag52),,,11,1,11,1,temm1241,Tem,kdh,Atlantic-Congo,87725.76153,,,25.9345926,,,8341175854,,
Ethnographic Atlas,Kalmyk,Ci1,xd574,Kalmyk (Ci1),,,46,46,46,46,kalm1243,Kalmyk,xal,Mongolic,31668.33006,,,13.52243921,,,406211029.5,,
Ethnographic Atlas,Kamayurá,Si5,xd1402,Camayura (Si5),,,-12,-54,-12,-54,kama1373,Kamayurá,kay,Tupian,133138.7656,,,24.49750805,,,15646577187,,
Ethnographic Atlas,Kamba,Ad34,xd103,Kamba (Ad34),,,-2,38,-2,38,kamb1297,Kamba (Kenya),kam,Atlantic-Congo,70369.96845,,,19.36225098,,,2466144649,,
Ethnographic Atlas,Kamia,Nh20,xd1271,Kamia (Nh20),,,33,-115,33,-115,kumi1248,Tipai,dih,Cochimi-Yuman,16674.88621,,,20.31804734,,,525604336.3,,
Western North American Indian database,Kamia,WNAI142,xd1271,Kamia (J142),,,32.5,-115,32.5,115,kumi1248,Tipai,dih,Cochimi-Yuman,16077.23033,,,20.45132684,,,478218132.2,,
Ethnographic Atlas,Kamuku,Ah14,xd303,Kamuku (Ah14),,,11,6,11,6,cind1241,Yara,cdr,Atlantic-Congo,103977.544,,,24.98985376,,,11173635661,,
Ethnographic Atlas,Temne,Af57,xd238,Temne (Af57),,,8.46,-12.64,8,-13,timn1235,Timne,tem,Atlantic-Congo,210558.0915,,,26.0519274,,,56993452223,,
Ethnographic Atlas,Kanembu,Cb18,xd467,Kanembu (Cb18),,,14,14,14,14,kane1243,Kanembu,kbl,Saharan,34834.2776,,,26.12020592,,,2420829642,,
Ethnographic Atlas,Kanuri,Cb19,xd468,Kanuri (Cb19),Kanuri,MS14,12,13,12,13,mang1399,Manga Kanuri,kby,Saharan,60910.65231,,,25.4740022,,,4910543141,,
Ethnographic Atlas,Kaoka,Ig20,xd853,Kaoka (Ig20),,,-9.49,159.82,-10,161,long1395,Longgu,lgu,Austronesian,278247.0504,,,27.3903716,,,16021527620,,
Ethnographic Atlas,Kaonde,Ac32,xd58,Kaonde (Ac32),,,-13,26,-13,26,kaon1241,Kaonde,kqn,Atlantic-Congo,130320.2093,,,18.5679854,,,21038146658,,
Ethnographic Atlas,Kapingamarangi,Ii7,xd886,Kapingamarang (Ii7),,,1.09,154.8,1,155,kapi1249,Kapingamarangi,kpg,Austronesian,166353.3778,,,27.66493449,,,9593054220,,
Ethnographic Atlas,Kapsiki,Ah38,xd329,Kapsiki (Ah38),,,11,14,11,14,psik1239,Psikye,kvj,Afro-Asiatic,71063.11734,,,25.46309669,,,5476210063,,
Ethnographic Atlas,Tenetehara,Sj6,xd1414,Tenetehara (Sj6),,,-3,-46,-3,-46,temb1276,Tenetehara,tqb,Tupian,210219.2259,,,24.52469856,,,40426976876,,
Ethnographic Atlas,Kaqchikel,Sa11,xd1311,Cakchiquel (Sa11),,,14,-91,14,-91,kaqc1270,Kaqchikel,cak,Mayan,114476.5103,,,26.28140393,,,17163876717,,
Ethnographic Atlas,Kara,Ad38,xd107,Kara (Ad38),,,-2,33,-2,33,kara1481,Kara (Tanzania),reg,Atlantic-Congo,120448.7556,,,19.86225588,,,17128915243,,
Binford Hunter-Gatherer,Karajarri,B104,xd953,Karadjeri (B104),,,-18.94,121.68,-18.92,121.21,kara1476,Karadjeri,gbd,Pama-Nyungan,76946.2954,,,26.91145197,,,11502283454,,
Ethnographic Atlas,Karamojong,Aj30,xd407,Karamojong (Aj30),,,2,34,2,34,nucl1430,Nuclear Karamojong,,Nilotic,98681.60794,,,22.51345889,,,10549284958,,
Ethnographic Atlas,Karankawa,Ne16,xd1215,Karankawa (Ne16),,,29,-96,29,-96,kara1289,Karankawa,zkk,Karankawa,63436.64027,,,20.73393801,,,1739446792,,
Binford Hunter-Gatherer,Karankawa,B193,xd1215,Karankawa (B193),,,28.44,-96.91,28.44,-96.91,kara1289,Karankawa,zkk,Karankawa,60024.63178,,,20.86786257,,,1616395216,,
Binford Hunter-Gatherer,Tenino,B315,xd1141,Tenino (B315),,,45.59,-120.45,45.59,-120.45,teni1238,Tenino,tqn,Sahaptian,72105.65641,,,8.989067189,,,3389049179,,
Ethnographic Atlas,Karbi,Ei17,xd704,Mikir (Ei17),,,26,94,26,94,karb1241,Hills Karbi,mjw,Sino-Tibetan,99740.42821,,,19.71128633,,,8896547745,,
Ethnographic Atlas,Karekare,Cb10,xd459,Karekare (Cb10),,,12,11,12,11,kare1348,Karekare,kai,Afro-Asiatic,62808.44579,,,25.56871731,,,5048116214,,
Ethnographic Atlas,Karelians,ch19,xd556,Karelians (ch19),,,64,33,64,33,livv1243,Livvi,olo,Uralic,56680.9853,,,0.824553757,,,552010296.9,,
Ethnographic Atlas,American Samoans,Ii1,xd876,Samoans (Ii1),,,-13.68,-172.41,-14.289155,-170.706485,samo1305,Samoan,smo,Austronesian,219886.7781,,,26.9979571,,,12224158736,,
Ethnographic Atlas,Anak Dalam,Ib8,xd757,Kubu (Ib8),,,-3,103,-3,103,kubu1239,Kubu,kvb,Austronesian,189205.5434,,,23.93845417,,,9307624982,,
Ethnographic Atlas,Ancient Egyptians,Cd6,xd524,Ancient Egypt (Cd6),,,30,31,30,31,egyp1246,Egyptian (Ancient),egy,Afro-Asiatic,3826.516988,,,21.03471942,,,27701443.79,,
Western North American Indian database,Umatilla,WNAI108,xd1151,Umatilla (J108),,,46,-119,46,119,umat1237,Umatilla,uma,Sahaptian,64391.96119,,,9.333151829,,,2502730379,,
Western North American Indian database,Tenino,WNAI111,xd1141,Tenino (J111),,,45.4,-121.5,45.4,121.5,teni1238,Tenino,tqn,Sahaptian,103126.4931,,,8.668100362,,,8454120108,,
Western North American Indian database,Karuk,WNAI37,xd1095,Karok (J37),,,41.4,-123.5,41.4,123.5,karo1304,Karok,kyh,Karok,111899.5888,,,11.63414418,,,13346916603,,
Binford Hunter-Gatherer,Karuk,B182,xd1095,Karok (B182),,,41.58,-123.47,41.58,-123.47,karo1304,Karok,kyh,Karok,119010.6579,,,11.339119,,,14443408816,,
Ethnographic Atlas,Karuk,Nb34,xd1095,Karok (Nb34),,,42,-123,42,-123,karo1304,Karok,kyh,Karok,123381.5036,,,10.49979409,,,15140019026,,
Binford Hunter-Gatherer,Karuwali,B116,xd963,Karuwali (B116),,,-24.41,141.64,-24.41,141.64,karr1236,Karruwali,,Pama-Nyungan,58074.67563,,,23.84613888,,,4056516232,,
Ethnographic Atlas,Kasena,Ag13,xd248,Kasena (Ag13),,,11,-1,11,-1,kase1253,Kasem,xsm,Atlantic-Congo,87246.74111,,,26.2262842,,,8784440210,,
Binford Hunter-Gatherer,Kashaya Pomo,B165,xd1418,Southern Pomo (B165),,,38.54,-122.88,38.54,-122.88,kash1280,Kashaya,kju,Pomoan,63918.08859,,,14.39151431,,,6496817890,,
Ethnographic Atlas,Tenino,Nd1,xd1141,Tenino (Nd1),,,45,-121,45,-121,teni1238,Tenino,tqn,Sahaptian,91996.4389,,,8.221235852,,,5903732042,,
Ethnographic Atlas,Kashmiri,Ef8,xd670,Kashmir (Ef8),Kashmiri,AV04,34,75,34,75,kash1277,Kashmiri,kas,Indo-European,126518.8766,,,8.590857697,,,12626256342,,
Ethnographic Atlas,Kaska,Na4,xd1056,Kaska (Na4),Kaska,ND12,59,-128,59,-128,kask1239,Kaska,kkz,Athapaskan-Eyak-Tlingit,64286.19598,,,-3.958219382,,,716711896.9,,
Standard cross-cultural sample,Kaska,SCCS129,xd1056,Kaska (SCCS129),Kaska,ND12,60,-131,60,-131,kask1239,Kaska,kkz,Athapaskan-Eyak-Tlingit,81754.22642,,,-5.328890959,,,1398625820,,
Binford Hunter-Gatherer,Kaska,B346,xd1056,Kaska (B346),Kaska,ND12,59.73,-125,59.73,-125,kask1239,Kaska,kkz,Athapaskan-Eyak-Tlingit,49445.16885,,,-3.609410235,,,507387176,,
Ethnographic Atlas,Kasonke,Ag23,xd259,Kasonke (Ag23),,,13,-11,13,-11,xaas1235,Xaasongaxango,kao,Mande,63207.42366,,,27.14277558,,,5787675908,,
Ethnographic Atlas,Katab,Ah1,xd298,Katab (Ah1),Katab,FF38,10,8,10,8,kata1265,Katab,,Atlantic-Congo,121622.591,,,23.19933534,,,12809603157,,
Ethnographic Atlas,Tepehuán,Ni9,xd1294,Tepehuan (Ni9),,,27,-107,27,-107,nort2959,Northern Tepehuan,ntp,Uto-Aztecan,103064.5992,,,13.101956,,,5869055286,,
Ethnographic Atlas,Anaguta,Ah9,xd336,Anaguta (Ah9),,,10,9,10,9,igut1238,Iguta,nar,Atlantic-Congo,110037.098,,,23.33548115,,,10752520350,,
Binford Hunter-Gatherer,Katikitegon,B328,xd1054,Katikitegon (B328),,,45,-91,45,-91,uppe1274,Upper Michigan-Wisconsin Chippewa,,Algic,60917.40196,,,7.249456136,,,1222041553,,
Binford Hunter-Gatherer,Kaurareg,B82,xd937,Kaurareg (B82),,,-10.73,142.15,-10.77,142.12,kala1377,Kala Lagaw Ya,mwp,Pama-Nyungan,145315.1077,,,26.79606998,,,26840408908,,
Binford Hunter-Gatherer,Kaurna,B129,xd974,Kaurna (B129),,,-34.56,138.4,-34.56,138.4,kaur1267,Kaurna,zku,Pama-Nyungan,43559.50072,,,16.5666023,,,832777957.8,,
Western North American Indian database,Kawaiisu,WNAI79,xd1126,Kawaiisu (J79),,,35.5,-118.5,35.5,118.5,kawa1283,Kawaiisu,xaw,Uto-Aztecan,35747.64545,,,15.77244178,,,2884750370,,
Ethnographic Atlas,Kawaiisu,Nc27,xd1126,Kawaiisu (Nc27),,,35,-118,35,-118,kawa1283,Kawaiisu,xaw,Uto-Aztecan,30976.95678,,,16.58615235,,,2395403679,,
Ethnographic Atlas,Tequistlatec,Nj14,xd1300,Tequistlatec (Nj14),,,16,-96,16,-96,high1242,Highland Oaxaca Chontal,chd,Tequistlatecan,91429.96515,,,24.4090775,,,10825721836,,
Binford Hunter-Gatherer,Utkuhikhalingmiut,B382,xd1023,Utkuhikhalingmiut (B382),,,66.99,-95.08,66.99,-95.18,nets1241,Netsilik,,Eskimo-Aleut,29633.47349,,,-15.74790028,,,290571381.5,,
Binford Hunter-Gatherer,Kawaiisu,B199,xd1126,Kawaiisu Shoshoni (B199),,,35.37,-118,35.37,-118,kawa1283,Kawaiisu,xaw,Uto-Aztecan,33427.68987,,,15.42368355,,,2494751582,,
Binford Hunter-Gatherer,Anak Dalam,B3,xd757,Kubu (B3),,,-3.04,102.69,-3.04,102.69,kubu1239,Kubu,kvb,Austronesian,186677.5655,,,24.55501025,,,9744828774,,
Ethnographic Atlas,Kayapo,Sj9,xd1417,Coroa (Sj9),,,-8,-52,-8,-52,acro1239,Acroá,acs,Nuclear-Macro-Je,202287.5796,,,23.71749573,,,31344533546,,
Ethnographic Atlas,Ambonese,Ic11,xd761,Ambonese (Ic11),,,-3.71,128.18,-4,128,ambo1250,Ambonese Malay,abs,Austronesian,179431.4549,,,26.60477241,,,13849589993,,
Standard cross-cultural sample,Kazakh,SCCS65,xd609,Kazak (SCCS65),Kazakh,RQ02,42.5,75.5,42.5,75.5,kaza1248,Kazakh,kaz,Turkic,40559.53828,,,2.868138877,,,861589161.4,,
Ethnographic Atlas,Kazan tatar,ch20,xd558,Kazan tatar (ch20),,,55,50,55,50,midd1325,Middle Tatar,,Turkic,55713.03489,,,5.531081404,,,593372516,,
Ethnographic Atlas,Tera,Cb6,xd483,Tera (Cb6),,,11,12,11,12,tera1251,Tera,ttr,Afro-Asiatic,79278.35447,,,24.28622278,,,6884117168,,
Ethnographic Atlas,Kei,Ic8,xd770,Kei (Ic8),,,-5.58,133.07,-6,133,keii1239,Kei,kei,Austronesian,162686.2947,,,26.59523569,,,12551192876,,
Ethnographic Atlas,Kela,Ae21,xd140,Kela (Ae21),,,-3,23,-3,23,yela1238,Yela-Kela,yel,Atlantic-Congo,187141.2796,,,22.31036265,,,12945239688,,
Ethnographic Atlas,Logo,Ai31,xd361,Logo (Ai31),,,3,30,3,30,logo1259,Logo,log,Central Sudanic,199016.4928,,,19.92797222,,,13498190269,,
Ethnographic Atlas,Lokele,Ae27,xd146,Lokele (Ae27),,,1,25,1,25,kele1255,Kele-Foma,khy,Atlantic-Congo,221442.9451,,,22.70012575,,,7498670281,,
Ethnographic Atlas,Lokono,Sc10,xd1336,Locono (Sc10),,,5.95,-56.98,6,-57,araw1276,Lokono,arw,Arawakan,90660.9892,,,26.21875866,,,5064667854,,
Ethnographic Atlas,Umotina,Si8,xd1405,Umotina (Si8),,,-15,-57,-15,-57,umot1240,Umotína,umo,Bororoan,110350.0057,,,26.22879281,,,11004295196,,
Ethnographic Atlas,Terena,Sh2,xd1389,Terena (Sh2),Terena,SK07,-21,-58,-21,-58,tere1279,Terena-Kinikinao-Chane,ter,Arawakan,97221.60822,,,26.41677012,,,7340545819,,
Ethnographic Atlas,Lolo,Ed2,xd645,Lolo (Ed2),Yi,AE04,29,103,29,103,sich1238,Sichuan Yi,iii,Sino-Tibetan,192218.8512,,,8.384560681,,,28069010048,,
Standard cross-cultural sample,Lolo,SCCS67,xd645,Lolo (SCCS67),Yi,AE04,27.5,103.5,27.5,103.5,sich1238,Sichuan Yi,iii,Sino-Tibetan,108919.2477,,,10.25560979,,,7338060720,,
Ethnographic Atlas,Longuda,Ah30,xd321,Longuda (Ah30),,,10,12,10,12,long1389,Longuda,lnu,Atlantic-Congo,90547.65691,,,24.21019156,,,7393004084,,
Ethnographic Atlas,Lotuko,Aj12,xd387,Lotuko (Aj12),,,4,33,4,33,otuh1238,Otuho,lot,Nilotic,121924.374,,,23.81176288,,,10631556968,,
Ethnographic Atlas,Lovedu,Ab14,xd15,Lovedu (Ab14),Lovedu,FX14,-24,31,-24,31,lobe1242,Lobedu,,Atlantic-Congo,99002.3787,,,17.61973153,,,9388284713,,
Ethnographic Atlas,Lower Chinook,Nb19,xd1078,Chinook (Nb19),Chinookans of the Lower Columbia River,NR06,45.99,-123.77,46,-124,chin1286,Chinook,chh,Chinookan,111077.607,,,10.76707928,,,9986259357,,
Ethnographic Atlas,Teso,Aj1,xd384,Teso (Aj1),,,2,34,2,34,teso1249,Teso,teo,Nilotic,98681.60794,,,22.51345889,,,10549284958,,
Binford Hunter-Gatherer,Lower Chinook,B274,xd1078,Chinook (B274),Chinookans of the Lower Columbia River,NR06,46.06,-123.75,46.06,-123.75,chin1286,Chinook,chh,Chinookan,112240.1188,,,10.50486377,,,9715687330,,
Western North American Indian database,Lower Chinook,WNAI27,xd1078,Lower Chinook (J27),Chinookans of the Lower Columbia River,NR06,46.35,-124,46.4,124,chin1286,Chinook,chh,Chinookan,112240.1188,,,10.50486377,,,9715687330,,
Ethnographic Atlas,Lowiili,Ag36,xd273,Lowiili (Ag36),,,11,-3,11,-3,malb1235,Malba Birifor,bfo,Atlantic-Congo,94588.336,,,25.77484055,,,10925222409,,
Ethnographic Atlas,Lozi,Ab3,xd26,Lozi (Ab3),Lozi,FQ09,-15,23,-15,23,lozi1239,Lozi,loz,Atlantic-Congo,116187.8667,,,21.27145619,,,18444498077,,
Standard cross-cultural sample,Lozi,SCCS4,xd26,Lozi (SCCS4),Lozi,FQ09,-16,23.5,-16,23.5,lozi1239,Lozi,loz,Atlantic-Congo,105957.4902,,,21.59784632,,,16848707242,,
Ethnographic Atlas,Luapula,Ac34,xd60,Luapula (Ac34),,,-10,29,-10,29,luun1238,Luunda,,Atlantic-Congo,141280.5774,,,19.23466209,,,24264393558,,
Ethnographic Atlas,Tetela,Ae25,xd144,Tetela (Ae25),,,-4,25,-4,25,tete1250,Tetela,tll,Atlantic-Congo,180736.6547,,,22.59559738,,,17474011556,,
Ethnographic Atlas,Luba,Ae6,xd182,Luba (Ae6),,,-8,26,-8,26,luba1250,Luba-Katanga,lub,Atlantic-Congo,154861.6328,,,21.58774345,,,22861135185,,
Ethnographic Atlas,Luchazi,Ac27,xd52,Luchazi (Ac27),,,-13,23,-13,23,luch1239,Luchazi,lch,Atlantic-Congo,137611.0831,,,20.77089977,,,21324819304,,
Ethnographic Atlas,Lugbara,Ai32,xd362,Lugbara (Ai32),,,3,32,3,32,lugb1240,Lugbara,lgg,Central Sudanic,140933.373,,,22.9247409,,,13787300984,,
Standard cross-cultural sample,Luguru,SCCS10,xd81,Luguru (SCCS10),,,-6.83,37.67,-6.83,37.67,lugu1238,Luguru,ruf,Atlantic-Congo,116820.557,,,21.04018261,,,5819966558,,
Ethnographic Atlas,Luguru,Ad14,xd81,Luguru (Ad14),,,-8,38,-8,38,lugu1238,Luguru,ruf,Atlantic-Congo,110656.0901,,,23.71426423,,,7589578679,,
Ethnographic Atlas,Luimbe,Ac28,xd53,Luimbe (Ac28),,,-12,18,-12,18,luim1238,Luimbi,lum,Atlantic-Congo,132495.1568,,,18.32656517,,,15608794007,,
Binford Hunter-Gatherer,Teton,B249,xd1227,Teton Sioux (Lakota) (B249),,,44.5,-102.27,44.5,-102.27,lako1247,Lakota,lkt,Siouan,44612.39847,,,8.541891021,,,1170973935,,
Ethnographic Atlas,Luiseño,Nc33,xd1133,Luiseno (Nc33),,,33,-117,33,-117,luis1253,Luiseno,lui,Uto-Aztecan,18475.75368,,,18.02087342,,,918742092.9,,
Binford Hunter-Gatherer,Luiseño,B150,xd1133,Luiseno (B150),,,33.42,-117.3,33.42,-117.3,luis1253,Luiseno,lui,Uto-Aztecan,21189.14686,,,17.75481728,,,1261567040,,
Western North American Indian database,Luiseño,WNAI82,xd1133,Luiseno (J82),,,33.3,-117.3,33.3,117.3,luis1253,Luiseno,lui,Uto-Aztecan,21189.14686,,,17.75481728,,,1261567040,,
Ethnographic Atlas,Lulua,Ae16,xd134,Lulua (Ae16),,,-6,23,-6,23,luba1249,Luba-Lulua,lua,Atlantic-Congo,169147.468,,,22.40759263,,,18458082304,,
Ethnographic Atlas,Lummi,Nb15,xd1074,Lummi (Nb15),,,48.84,-123.27,49,-123,lumm1243,Lummi,,Salishan,160993.373,,,7.493608846,,,16364819570,,
Binford Hunter-Gatherer,Lummi,B277,xd1074,Lummi (B277),,,48.84,-122.34,48.84,-122.34,lumm1243,Lummi,,Salishan,151216.3402,,,6.624842605,,,14486937100,,
Ethnographic Atlas,Teton,Ne8,xd1227,Teton (Ne8),,,43,-103,43,-103,lako1247,Lakota,lkt,Siouan,50531.75926,,,8.070335358,,,1462953874,,
Western North American Indian database,Lummi,WNAI21,xd1074,Lummi Salish (J21),,,48.7,-123.7,48.7,123.7,lumm1243,Lummi,,Salishan,157295.1964,,,7.994835395,,,15507839967,,
Ethnographic Atlas,Luo,Aj6,xd411,Luo (Aj6),Luo,FL11,-1,34,-1,34,luok1236,Luo (Kenya and Tanzania),luo,Nilotic,94339.46974,,,19.42060864,,,11215854123,,
Ethnographic Atlas,Luvale,Ac11,xd35,Luvale (Ac11),,,-12,22,-12,22,luva1239,Luvale,lue,Atlantic-Congo,140786.9519,,,20.2280438,,,19771051651,,
Ethnographic Atlas,Luwa,Ac29,xd54,Luwa (Ac29),,,-7,19,-7,19,sond1250,Sonde,shc,Atlantic-Congo,137780.0357,,,21.49476174,,,10431938281,,
Ethnographic Atlas,Maasi,Aj2,xd395,Masai (Aj2),Masai,FL12,-2,36,-2,36,masa1300,Masai,mas,Nilotic,62002.15607,,,18.96295296,,,4394659365,,
Standard cross-cultural sample,Maasi,SCCS34,xd395,Masai (SCCS34),Masai,FL12,-3.5,36.75,-3.5,36.75,masa1300,Masai,mas,Nilotic,71294.36767,,,18.69236355,,,4960612801,,
Ethnographic Atlas,Uncompahgre Ute,Nd62,xd1199,Uncompahgre (Nd62),,,39,-107,39,-107,utee1244,Ute,,Uto-Aztecan,73213.00921,,,1.426843598,,,1524320961,,
Ethnographic Atlas,Thado,Ei12,xd699,Thado (Ei12),,,25,94,25,94,thad1238,Thado Chin,tcz,Sino-Tibetan,104628.212,,,20.00440457,,,8929329311,,
Ethnographic Atlas,Macassarese,Ic1,xd759,Macassarese (Ic1),Makassar,OG06,-5.31,119.69,-5,119,maka1311,Makasar,mak,Austronesian,157292.3994,,,27.15184344,,,10746023095,,
Ethnographic Atlas,Macha,Ca13,xd419,Macha (Ca13),,,9,37,9,37,west2721,West Central Oromo,gaz,Afro-Asiatic,116714.2925,,,16.41338226,,,12733240708,,
Ethnographic Atlas,Macushi,Sc12,xd1338,Macusi (Sc12),,,4,-59,4,-59,macu1259,Macushi,mbc,Cariban,110166.5471,,,24.33176972,,,9798736659,,
Ethnographic Atlas,Madan,Cj10,xd587,Madan (Cj10),,,31,47,31,47,meso1252,Gilit Mesopotamian Arabic,acm,Afro-Asiatic,7696.788262,,,25.0032706,,,182711138.6,,
Ethnographic Atlas,Madi,Ai33,xd363,Madi (Ai33),,,4,32,4,32,madi1260,Ma'di,mhi,Central Sudanic,143130.0985,,,23.31765468,,,12430370386,,
Ethnographic Atlas,Madia,Eg3,xd679,Maria Gond (Eg3),Gond,AW32,19,81,19,81,dand1238,Dandami Maria,daq,Dravidian,138058.4369,,,24.4290047,,,26362286210,,
Standard cross-cultural sample,Thai,SCCS76,xd731,Siamese (SCCS76),,,14,100.85,14,100.85,thai1261,Thai,tha,Tai-Kadai,149789.9338,,,24.06372942,,,20087073747,,
Standard cross-cultural sample,Madia,SCCS60,xd679,Gond (SCCS60),Gond,AW32,19.63,80.92,19.63,80.92,dand1238,Dandami Maria,daq,Dravidian,132169.3164,,,23.48500689,,,24696382253,,
Ethnographic Atlas,Mafa,Ah7,xd334,Matakam (Ah7),,,11,14,11,14,mafa1239,Mafa,maf,Afro-Asiatic,71063.11734,,,25.46309669,,,5476210063,,
Ethnographic Atlas,Mafulu,Ie25,xd802,Mafulu (Ie25),,,-8,147,-8,147,fuyu1242,Fuyug,fuy,Goilalan,193575.5796,,,23.98613873,,,17249483861,,
Ethnographic Atlas,Magar,Ee8,xd660,Magar (Ee8),,,28,84,28,84,east2352,Eastern Magar,mgp,Sino-Tibetan,216996.7918,,,18.40054173,,,85478942983,,
Ethnographic Atlas,Maguzawa,Cb1,xd458,Maguzawa (Cb1),Hausa,MS12,12,10,12,10,kano1249,Kano,,Afro-Asiatic,63853.81797,,,25.28502416,,,4922658491,,
Ethnographic Atlas,Magyar,Ch8,xd572,Hungarian (Ch8),Hungary,EC01,47,20,47,20,hung1274,Hungarian,hun,Uralic,55112.55622,,,12.61471436,,,742293400.9,,
Ethnographic Atlas,Thai,Ej9,xd731,Siamese (Ej9),,,15,100,15,100,thai1261,Thai,tha,Tai-Kadai,146199.3955,,,24.14684495,,,23988483368,,
Ethnographic Atlas,Mahaguaduka,Nd35,xd1169,Mahaguaduka (Nd35),Western,NT22,39,-117,39,-117,west2622,Western Shoshoni,,Uto-Aztecan,38287.80431,,,7.617603482,,,1086746746,,
Western North American Indian database,Mahaguaduka,WNAI120,xd1169,Reese River Shoshone (J120),Western,NT22,39.3,-117.3,39.3,117.3,west2622,Western Shoshoni,,Uto-Aztecan,39613.66728,,,7.915984911,,,1156066887,,
Binford Hunter-Gatherer,Mahaguaduka,B218,xd1169,Reese River Shoshoni (B218),Western,NT22,39.25,-117.32,39.25,-117.32,west2622,Western Shoshoni,,Uto-Aztecan,39613.66728,,,7.915984911,,,1156066887,,
Western North American Indian database,Maidu,WNAI56,xd1110,Mountain Maidu (J56),,,40.2,-121,40.2,121,nort2952,Northeast Maidu,nmu,Maiduan,95223.62724,,,9.248097855,,,10855968233,,
Binford Hunter-Gatherer,Maidu,B185,xd1110,Mountain Maidu (B185),,,40.28,-120.56,40.28,-120.56,nort2952,Northeast Maidu,nmu,Maiduan,95223.62724,,,9.248097855,,,10855968233,,
